Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Datetime,,,,,
2025-03-12 09:15:00+05:30,1257.300048828125,1260.8499755859375,1255.5999755859375,1255.5999755859375,0
2025-03-12 09:16:00+05:30,1257.699951171875,1258.050048828125,1255.8499755859375,1257.0999755859375,111216
2025-03-12 09:17:00+05:30,1258.800048828125,1259.4000244140625,1257.0,1257.699951171875,98288
2025-03-12 09:18:00+05:30,1259.300048828125,1259.8499755859375,1258.050048828125,1258.550048828125,86064
2025-03-12 09:19:00+05:30,1258.4000244140625,1260.75,1258.300048828125,1259.199951171875,151129
2025-03-12 09:20:00+05:30,1256.0,1258.25,1255.9000244140625,1258.25,70587
2025-03-12 09:21:00+05:30,1253.949951171875,1255.9000244140625,1253.0,1255.9000244140625,66099
2025-03-12 09:22:00+05:30,1251.949951171875,1253.800048828125,1251.800048828125,1253.800048828125,50230
2025-03-12 09:23:00+05:30,1253.75,1253.75,1252.0,1252.0,37916
2025-03-12 09:24:00+05:30,1254.0999755859375,1254.0999755859375,1253.300048828125,1253.6500244140625,37545
2025-03-12 09:25:00+05:30,1252.199951171875,1254.75,1252.0,1254.050048828125,85715
2025-03-12 09:26:00+05:30,1250.1500244140625,1252.199951171875,1249.6500244140625,1252.199951171875,81817
2025-03-12 09:27:00+05:30,1249.8499755859375,1251.0,1249.25,1250.050048828125,71872
2025-03-12 09:28:00+05:30,1251.550048828125,1251.949951171875,1250.050048828125,1250.25,17001
2025-03-12 09:29:00+05:30,1251.0,1251.8499755859375,1251.0,1251.75,34049
2025-03-12 09:30:00+05:30,1251.550048828125,1251.550048828125,1250.5,1251.0,21473
2025-03-12 09:31:00+05:30,1252.0,1253.25,1252.0,1252.0999755859375,44889
2025-03-12 09:32:00+05:30,1252.0,1252.1500244140625,1251.050048828125,1251.75,21218
2025-03-12 09:33:00+05:30,1252.0,1252.0,1251.25,1252.0,19260
2025-03-12 09:34:00+05:30,1250.949951171875,1251.699951171875,1250.800048828125,1251.699951171875,38776
